time, temperature, humidity, pressure
2018/09/22 13:59:14,23.828286043,62.6385448482,1004.32138867
2018/09/22 14:02:56,23.828286043,62.6385448482,1004.32138867
2018/09/22 16:13:43,25.3148304022,75.8822268658,998.521207977
2018/09/22 19:21:36,25.879020524,76.0172205157,1001.1933941
2018/09/22 19:23:12,26.293428025,75.1682132385,1001.29406156
2018/09/22 19:24:17,26.0337989946,76.6191600766,1001.15137728
2018/09/22 19:26:45,26.0637561503,75.5265911985,1001.20418974
2018/09/22 19:28:02,26.0937133164,75.5177235884,1001.25700361
2018/09/22 19:28:18,26.1136847663,75.5193001221,1001.21346901
2018/09/22 19:30:05,26.1186776295,75.446671876,1001.19602258
2018/09/22 19:31:38,26.1486348149,75.3647673737,1001.19633456
2018/09/22 19:37:05,26.1686062776,74.4842057783,1001.31029273
2018/09/22 19:41:15,26.2035563485,75.28480574,1001.50317081
2018/09/22 20:54:20,26.2634707891,74.7162882269,1002.34395735
2018/09/22 20:58:38,26.8825891285,74.735793202,1002.38546274
2018/09/22 20:59:20,26.652915674,79.0522828833,1002.37447892
2018/09/22 20:59:22,26.6728872543,79.3573693248,1002.38343835
2018/09/22 21:05:20,26.1336562209,76.5205937389,1002.40365159
2018/09/23 07:29:12,24.3911643315,80.6831830994,1006.47714387
2018/09/23 07:51:09,25.464615028,77.7388275219,1006.80870326
2018/09/23 07:52:07,25.045218736,78.4425831455,1006.85146689
2018/09/23 09:42:39,25.5744572533,77.9106590872,1007.26575358
2018/09/23 09:44:36,25.5594787598,77.5281617081,1007.2391883
2018/09/23 10:25:24,25.8890062234,71.1421029021,1006.95769569
2018/09/23 10:26:19,25.879020524,71.1133029885,1007.01872091
2018/09/23 13:02:00,26.4132570737,64.2713619962,1005.39211328
2018/09/23 15:32:16,26.5031289702,68.8702625362,1005.65620497
2018/09/23 16:00:11,26.6279512052,68.0555014451,1005.53556685
2018/09/23 17:00:02,25.9888632808,68.8935488533,1005.74365881
2018/09/23 17:17:39,25.9838704252,70.3670386497,1005.94478478
2018/09/23 18:00:01,25.9389347375,68.6090279853,1005.91769974
2018/09/23 19:00:01,26.1286633568,71.8448375984,1006.35872031
2018/09/23 19:21:04,26.1386490853,70.349370108,1006.63893507
2018/09/23 20:00:01,25.6493497605,75.1964206791,1006.87393463
2018/09/23 20:27:06,25.7841564383,73.3540712085,1007.03422349
2018/09/24 03:00:01,25.3348016705,78.12011521,1005.05788927
2018/09/24 03:15:55,25.7741707512,77.3778365179,1005.25863242
2018/09/24 04:00:01,25.4296652586,77.2986899416,1005.173386
2018/09/24 05:00:02,25.2848735085,84.0265837272,1005.54625766
2018/09/24 06:00:01,25.2149741306,80.6351734711,1005.92051406
2018/09/24 07:00:01,25.6343712538,75.4477536973,1006.03420536
2018/09/24 08:00:01,25.8041278161,77.04932486,1005.9151323
2018/09/24 09:00:01,25.329808853,79.3912816324,1005.70450038
2018/09/24 09:36:04,25.2199669414,79.2192359681,1005.79829209
2018/09/24 11:12:31,25.8141135067,76.7808262816,1005.06695063
2018/09/24 11:14:36,25.8340848914,76.6477864888,1005.04981514
2018/09/24 11:15:55,25.8440705855,76.7383872481,1005.01500703
2018/09/24 12:00:02,26.2584779174,73.9964473649,1004.59313906
2018/09/24 12:00:03,26.2634707891,73.9574741281,1004.47068465
2018/09/24 12:05:03,26.2834422785,74.0433048236,1004.47973815
2018/09/24 13:00:01,26.7827310291,74.801271273,1003.8910988
2018/09/24 16:00:01,26.4731716609,71.9592488346,1003.60701526
2018/09/24 17:05:03,25.9539132975,72.4113878712,1003.7135001
2018/09/25 18:48:33,23.8769113224,80.4296713634,1004.49271053
2018/09/25 19:28:53,24.466055804,82.3323922879,1005.87689055
2018/09/25 20:05:04,24.1115700795,83.4090470022,1005.77190677
2018/09/26 06:00:01,22.6087666116,80.1190455578,1007.44237009
2018/09/26 09:00:01,22.3641266823,79.0842310554,1008.72978247
2018/09/26 10:05:04,22.1494432383,80.4162531596,1008.99979867
2018/09/26 12:00:01,22.1793990354,82.4476091337,1008.32268492
2018/09/26 15:00:01,21.5503294969,80.6496801677,1007.04701134
2018/09/26 15:05:03,21.5403443034,80.6987113372,1007.10743307
2018/09/26 18:00:02,21.2258113035,80.308826969,1007.06900782
2018/09/27 05:05:04,20.4270025277,77.7973307595,1005.20624339
2018/09/27 06:00:01,20.6866145626,77.0546632787,1004.96498507
2018/09/27 09:00:01,19.3785773162,79.2422894971,1004.25302854
2018/09/27 10:05:03,19.313675225,80.0540584654,1004.34544182
2018/09/27 12:00:02,19.3586074367,80.6990490429,1002.21813253
2018/09/27 15:00:01,19.3436300302,80.421447032,1001.25683755
2018/09/27 15:05:03,19.3436300302,80.443542908,1001.02315722
2018/09/27 18:00:01,19.4334945087,80.2420160375,1001.75365632
2018/09/27 19:10:03,20.8264059843,79.7175585171,1002.55841506
2018/09/27 20:06:06,22.7335831713,75.2112157663,1002.78189385
2018/09/28 06:00:02,19.7180659795,79.466772038,1005.42791605
2018/09/28 09:00:02,21.3456332625,76.2998424841,1007.02166094
2018/09/28 12:00:01,23.0880631927,74.7653206699,1006.10013981
2018/09/28 15:00:01,24.1465193111,76.3474083877,1006.20023805
2018/09/28 18:00:01,24.0017297301,77.9504176954,1007.82719164
2018/09/28 18:05:55,23.9817587727,78.7306844821,1007.89636368
2018/09/28 18:06:15,23.9567950824,79.2980835188,1007.9304962
2018/09/28 18:13:04,23.9567950824,77.0974122239,1008.06130666
2018/09/28 19:13:03,24.0017297301,74.51858367,1008.76910181
2018/09/28 19:30:01,23.9667805576,75.4327802148,1009.02091467
2018/09/28 20:05:03,23.8619331256,76.3296743862,1009.40993484
2018/09/28 21:42:14,24.4610630372,74.2128446649,1009.76932509
2018/09/29 03:39:08,23.3077416888,76.6636150408,1009.4694756
2018/09/29 03:48:11,23.802020365,74.0334473677,1009.40795521
2018/09/29 03:48:54,23.4625155129,74.8898120994,1009.35289201
2018/09/29 03:50:49,23.3776395102,75.2404416282,1009.25411008
2018/09/29 03:51:13,23.3676541037,75.3010566677,1009.21020014
2018/09/29 03:52:49,23.347683294,75.4948463244,1009.20079531
2018/09/29 05:05:02,23.0930558795,75.5747704404,1009.55760426
2018/09/29 05:49:06,22.9832168364,75.6049384043,1009.77998498
2018/09/29 06:00:01,22.978224156,75.470671068,1010.00619279
2018/09/29 09:00:01,23.1379900741,76.1753611617,1010.8918212
2018/09/29 10:05:02,23.1429827639,76.7447439535,1010.90072217
2018/09/29 12:00:02,23.0131729251,76.6614306656,1009.85946629
2018/09/29 15:00:01,23.5024571904,76.7635176761,1009.16254393
2018/09/29 15:05:02,23.4575228046,77.1002400682,1008.97801911
2018/09/29 18:00:01,23.5024571904,74.2897035403,1008.92725045
2018/09/30 06:00:01,20.6316965665,84.9045332053,1001.17266052
2018/09/30 08:33:44,21.8399006153,78.7429526127,1000.34048921
2018/09/30 08:39:06,21.7001075394,79.7083347149,1000.19772762
2018/09/30 09:00:01,21.9747012975,78.9494709991,1000.42226413
2018/09/30 10:05:02,23.0181656076,77.5483548423,999.080603801
